trial,fast_loading_rate,slow_loading_rate,fast_completed_clusters,slow_completed_clusters
96,0.34377352550052365,0.4638689895757331,0,0
97,0.3746646383540053,0.4869345935576419,0,0
98,0.33615267954711925,0.4534093961097163,0,0
99,0.3820831338678943,0.5575653324960683,0,0
100,0.3568306549186495,0.510593704144302,0,0
101,0.34590801002565286,0.4461678067446684,0,0
102,0.34023327944332493,0.44326771783786967,0,0
103,0.3514864160250042,0.421909649550134,0,0
104,0.35917117453010405,0.4614063886076991,0,0
105,0.37120410266044956,0.539375963145794,0,0
106,0.37701040513038464,0.4932715439220914,0,0
107,0.3734448170211735,0.48612847572115925,0,0
108,0.35009527746598934,0.41093614089504626,0,0
109,0.380004536796541,0.4967294306279513,0,0
110,0.33577301021736616,0.39463025150610065,0,0
111,0.3687921959119045,0.5278373639434619,0,0
112,0.38144238451565116,0.5569609015081411,0,0
113,0.3602020999569078,0.44850826516373843,0,0
114,0.3602207216673037,0.425090128289618,0,0
115,0.36776575696650937,0.49608227747111044,0,0
116,0.3639040750895717,0.4810531340888602,0,0
117,0.3527085264236618,0.46071784815637784,0,0
118,0.37268326441042277,0.5382087632446186,0,0
119,0.34639172304373744,0.3985141498592526,0,0
120,0.36132201406946507,0.49120831916837915,0,0
121,0.3564354056786456,0.47585035481034765,0,0
122,0.38274959456074953,0.4473937608024947,0,0
123,0.37032769742406657,0.6116686332258148,0,0
124,0.35683932220464953,0.454130848781098,0,0
125,0.35525866990493427,0.5606893836258564,0,0
126,0.3353824185676757,0.38570662250903,0,0
127,0.3718094349780543,0.549101502089755,0,0
128,0.37778027183321683,0.4878015655025436,0,0
129,0.3524404476182852,0.5018742840743329,0,0
130,0.367364396775649,0.49267573597511216,0,0
131,0.36598584945313206,0.4670580686716441,0,0
132,0.3492401522220412,0.49820963458735434,0,0
133,0.37514187258480547,0.4318781250383097,0,0
134,0.36945346431016546,0.3980078217331595,0,0
135,0.3366682837078194,0.4564877803403533,0,0
136,0.3499538712876671,0.373459466999293,0,0
137,0.34315045682653533,0.4595091865811085,0,0
138,0.37594282156101777,0.5124563956293571,1,1
139,0.3359024537878952,0.4384404186481561,0,0
140,0.3668481619776287,0.5206411613762896,0,0
141,0.3759602080224411,0.5219092393122793,0,0
142,0.35226446573943804,0.5306497210857408,0,0
143,0.3481011343531293,0.4540128359238338,0,0
144,0.3512307208186627,0.4734526332050848,0,0
145,0.3889033521984331,0.5186662879830273,0,0
146,0.3404359427081616,0.510262929930505,0,0
147,0.3663837182834584,0.4779327720552118,0,0
148,0.3733843524602598,0.4941409118899287,0,0
149,0.3466912287732882,0.5092712711061154,0,0
150,0.36811791959623363,0.4852091245051149,0,0
151,0.3603464633092912,0.45991971524239617,0,0
152,0.3544133476931499,0.36325497495237613,0,0
153,0.37411789855612554,0.5270785718991533,0,0
154,0.3649030872221459,0.5075765146465017,0,0
155,0.3473174757524511,0.5428761340686705,0,0
156,0.35617259709219695,0.41126184408080135,0,0
157,0.3524272844210863,0.45290007845633085,1,1
158,0.3594508707842614,0.4961993329128944,0,0
159,0.36120108701975795,0.5252359011400642,0,0
160,0.35159487424607505,0.5113880863483189,0,0
161,0.35564840515256435,0.48165537174682527,0,0
162,0.3774085069037092,0.5632241684594419,0,0
163,0.36540772086368634,0.5554851593725374,0,0
164,0.3703370341154866,0.4809423552947223,0,0
165,0.3645052619982714,0.49603492613181643,0,0
166,0.3602358186345356,0.5559601814608683,0,0
167,0.39096089577195237,0.509861115087773,0,0
168,0.366480695207283,0.47952393446681896,0,0
169,0.35559262536866143,0.4800316450834785,0,0
170,0.34750400357097533,0.463776452189979,0,0
171,0.3517629390552557,0.44504142170609384,0,0
172,0.36233212593828057,0.3864319092325985,0,0
173,0.3566637023002528,0.48213689323706177,0,0
174,0.38354950157426515,0.4955233459913444,0,0
175,0.38128532877035326,0.4917759200822047,0,0
176,0.34429149515347035,0.4440150802453857,0,0
177,0.3476898078957902,0.4794036396758017,0,0
178,0.393921437139122,0.5073710578518131,0,0
179,0.3714583413305661,0.4667241891604945,0,0
180,0.34637717349994546,0.44447433173999684,0,0
181,0.3675081230749555,0.46453754144692994,0,0
182,0.3484777880533585,0.44828902912108504,0,0
183,0.35098289598822774,0.4886246467785682,0,0
184,0.35390931181211727,0.42936203357157865,0,0
185,0.3787719656216382,0.5139907082911677,0,0
186,0.3730631787171035,0.5206434052329456,0,0
187,0.3594651667033766,0.4745860877619634,0,0
