condition,time,terminal_displacement,sls_q,bound_clutches,total_traction,actin_velocity,loading_rate,phase
fast,3.18,2.6245755304508194,0.11807372555807795,10,1.4303614907834903,0.8808435764878626,0.4844086378414936,loading
fast,3.2,2.6412277727408853,0.11930980054287445,10,1.4399236869133194,0.8800457535033815,0.47272895389793845,loading
fast,3.22,2.657885623166221,0.12032936282461522,10,1.4492721744077244,0.8792658930901083,0.4628914890236757,loading
fast,3.24,2.674546048566196,0.12116754801130963,10,1.4584405722944052,0.8785011687618353,0.45459743642783934,loading
fast,3.2600000000000002,2.6912065094903355,0.12185379194260898,10,1.4674570466877803,0.8777492124812095,0.44759646229408645,loading
fast,3.2800000000000002,2.7078648801065004,0.12241275531599559,10,1.476345195369245,0.8770080402894205,0.44167884229118215,loading
fast,3.3000000000000003,2.7245193811017145,0.12286509831853511,10,1.4851247888693995,0.8762759900003787,0.43666887394433473,loading
fast,3.3200000000000003,2.7411685234679197,0.12322812959653673,10,1.4938123913304966,0.8755516690022472,0.43241935746296534,loading
fast,3.34,2.757811061406917,0.12351634994824319,10,1.5024218806517,0.874833910526697,0.4288069720637111,loading
fast,3.36,2.7744459528751406,0.12374190781776416,10,1.5109648842553356,0.87412173701224,0.4257284022157748,loading
fast,3.38,2.7910723265289334,0.12391498089799928,10,1.519451144162466,0.8734143294108276,0.4230970923972954,loading
fast,3.4,2.807708949000432,0.1240724788974626,11,1.5279269533976847,0.8727083447050773,0.4270898586118399,loading
fast,3.42,2.824381774890666,0.12424877349511633,11,1.536439660940451,0.8719987271555109,0.42438680658118955,loading
fast,3.44,2.841044985372477,0.12438002492808575,11,1.5449025176143234,0.8712932963394103,0.4220736872468933,loading
fast,3.46,2.857698011436046,0.12447362689619358,11,1.5533226326142135,0.8705914545026703,0.42008664625736714,loading
fast,3.48,2.8743403790014774,0.12453576152460195,11,1.5617059510253446,0.8698927017722784,0.4183722926853761,loading
fast,3.5,2.890971693361836,0.12457159789785817,11,1.5700574445787812,0.8691966201171368,0.41688598442357616,loading
fast,3.52,2.9075916261754085,0.12458545806124917,11,1.5783812711489564,0.8685028599371378,0.41559039460992153,loading
fast,3.54,2.924199904589468,0.12458095582044282,11,1.586680908115179,0.8678111288498092,0.4144543128892231,loading
fast,3.56,2.940796302146282,0.12456111279680013,11,1.5949592638699452,0.8671211823144332,0.4134516431442137,loading
fast,3.58,2.957380631179289,0.12452845546534495,11,1.603218771054988,0.8664328157925375,0.41256056543836905,loading
fast,3.6,2.973952736455278,0.12448509629165438,11,1.6114614645192886,0.8657458581930042,0.4117628353386138,loading
fast,3.62,2.990512489858393,0.1244328015733038,11,1.6196890465025002,0.8650601663912905,0.41104319798623834,loading
fast,3.64,3.0070597859452413,0.12437304816450993,11,1.627902941137132,0.864375620646755,0.4103888981918935,loading
fast,3.66,2.994849143488576,0.08225186811454013,10,1.5796764398588286,0.8684239191263202,0.7634693746716437,loading
fast,3.68,3.010740362117483,0.08894861130039984,10,1.5943187923591378,0.8671988814900622,0.7053702398844841,loading
fast,3.7,3.026714123037241,0.09454327770607569,10,1.6079003392246993,0.8660630254370169,0.6566444689011242,loading
fast,3.72,3.0427549491883035,0.09921466044557174,10,1.6205921350397268,0.8650019697082723,0.6157715389942808,loading
