time,radial_alignment,rms_bead_displacement,stretch_energy,bend_energy,max_bead_speed
0.88,0.3202725187664822,0.015299115651860153,0.0038706625106700483,0.0002958317883885349,0.08248502690398844
0.92,0.32118272647548834,0.01657003589214486,0.004359017896945068,0.00034511659994767663,0.08251994294511839
0.96,0.3220976015059687,0.017839513612818804,0.004844712249950111,0.0003978667046254407,0.08255588984344066
1.0,0.32301688400867956,0.01910770209528012,0.0053257006471324995,0.00045407301386438657,0.08259272173675562
1.04,0.32394034290312834,0.020374737399868705,0.005800405538996616,0.0005137320703542571,0.08263030781066828
1.08,0.32486777211183804,0.021640740314505674,0.006267618657349303,0.0005768445635483285,0.0826685301533812
1.12,0.3257989873046386,0.022905818169077538,0.0067264245761306084,0.0006434142263065673,0.08270728196172444
1.16,0.3267338230865095,0.024170066466911666,0.007176140814449666,0.0007134470110394238,0.08274646603785323
1.2,0.3276721305691077,0.025433570325009876,0.007616270662605456,0.0007869504721208073,0.08278599352598581
1.24,0.32861377527299146,0.02669640573286376,0.00804646585461266,0.000863933301354117,0.08282578284731004
1.28,0.3295586353142213,0.027958640646998417,0.008466496905341552,0.0009444049775409908,0.08286575879865611
1.32,0.33050659983518504,0.029220335940427705,0.008876229446289064,0.0010283755014629304,0.08290585178677093
1.36,0.33145756764503886,0.030481546225747454,0.009275605280038167,0.0011158551950251538,0.0829459971751706
1.4000000000000001,0.33241144604006495,0.0317423205690389,0.009664627164282569,0.0012068545487426397,0.0829861347247562
1.44,0.33336814977852286,0.03300270310982526,0.01004334655682859,0.0013013841057368616,0.0830262081128
1.48,0.33432760018827157,0.03426273360035348,0.010411853721189798,0.001399454373359683,0.08306616451767747
1.52,0.3352897243886133,0.03552244787563516,0.010770269721486396,0.001501075755747377,0.08310595425898779
1.56,0.3362544546105306,0.03678187826403036,0.01111873993490622,0.0016062585022421636,0.08314553048450216
1.6,0.33722172760180347,0.038041053946720756,0.011457428787238216,0.0017150126678410482,0.08318484889688527
1.6400000000000001,0.3381914841054648,0.03930000127317649,0.011786515477148431,0.001827348082752948,0.08322386751431499
1.68,0.33916366840172635,0.04055874403866554,0.012106190502032271,0.001943274328840785,0.08326254646012342
1.72,0.34013822790493425,0.04181730372895393,0.012416652835345566,0.002062800721251839,0.08330084777736638
1.76,0.3411151128083181,0.043075699736588695,0.012718107634633722,0.002185936293941139,0.08333873526489548
1.8,0.3420942757703266,0.04433394955250943,0.01301076438272843,0.002312689788098197,0.08337617433204525
1.84,0.3430756716372177,0.04559206893619555,0.013294835383116934,0.002443069642720967,0.08341313186948594
1.8800000000000001,0.34405925719731034,0.04685007206709368,0.013570534545301997,0.002577083986760049,0.08344957613416874
1.92,0.3450449909629424,0.04810797167968599,0.013838076407875596,0.0027147406323943545,0.08348547664659539
1.96,0.34603283297671505,0.04936577918422555,0.014097675356609794,0.0028560470691039613,0.08352080409889645
2.0,0.3470227446390719,0.0506235047748917,0.014349545002612554,0.003001010458288935,0.08355553027241946
2.04,0.34801468855464773,0.0518811575268764,0.014593897691879546,0.003149637628244332,0.08358962796371097
2.08,0.3490086283951628,0.05313874548371138,0.014830944122682457,0.003301935069350538,0.08362307091791973
2.12,0.3500045287769335,0.05439627573597485,0.015060893051397963,0.0034579089293759946,0.08365583376878995
2.16,0.3510023551513115,0.05565375449236577,0.015283951070783475,0.003617565008817204,0.08368789198450646
2.2,0.352002073706585,0.05691118714400897,0.015500322447506895,0.0037809087562234575,0.08371922181876444
2.24,0.3530036512800531,0.05816857832274466,0.015710209008020497,0.00394794526347118,0.08374980026649956
2.2800000000000002,0.35400705527915305,0.05942593195406204,0.01591381006376958,0.004118679260964873,0.08377960502379679
2.32,0.3550122536106519,0.06068325130525553,0.016111322368269447,0.004293115112752756,0.08380861445154111
2.36,0.3560192146170362,0.061940539029312486,0.01630294009988482,0.004471256811551484,0.08383680754243823
2.4,0.3570279070193358,0.06319779720497982,0.016488854865199697,0.004653107973680801,0.08386416389106481
2.44,0.3580382998657129,0.06445502737340558,0.01666925571875809,0.004838671833913637,0.08389066366665454
2.48,0.35905036248521843,0.06571223057170382,0.01684432919567711,0.005027951240248476,0.08391628758835358
2.52,0.3600640644461937,0.06696940736375229,0.017014259354255795,0.0052209486486152245,0.0839410169027122
2.56,0.3610793755188522,0.06822655786849693,0.017179227826189438,0.005417666117525596,0.08396483336320193
2.6,0.36209626564162867,0.06948368178600799,0.01733941387243874,0.005618105302681367,0.08398771921156932
2.64,0.3631147048909288,0.07074077842150286,0.017494994443138463,0.005822267451553327,0.08400965716086026
2.68,0.3641346634539534,0.07199784670753019,0.017646144240228045,0.006030153397945011,0.08403063037996338
2.72,0.36515611160430933,0.0732548852244877,0.017793035781722734,0.006241763556555105,0.0840506224795341
2.7600000000000002,0.3661790196801433,0.07451189221962759,0.017935839466753818,0.0064570979175515185,0.08406961749917846
2.8000000000000003,0.3672033580645704,0.07576886562468758,0.018074723640659623,0.006676156041171733,0.0840875998957872
2.84,0.3682290971681889,0.0770258030722728,0.018209854659566493,0.006898937052361423,0.0841045545329161
2.88,0.36925620741349546,0.07828270191109832,0.01834139695399184,0.0071254396354652055,0.08412046667112513
2.92,0.3702846592210324,0.07953955922019317,0.018469513091117485,0.007355662028980921,0.0841353219591924
2.96,0.3713144229971209,0.08079637182215588,0.018594363835446662,0.007589602020390713,0.0841491064261265
3.0,0.3723454691230401,0.08205313629554344,0.01871610820763055,0.007827256941078603,0.08416180647391096
3.04,0.3733777679455342,0.0833098489864664,0.018834903541299183,0.008068623661347373,0.08417340887091701
3.08,0.374411289768536,0.08456650601945678,0.018950905537778978,0.008313698585543938,0.08418390074592698
3.12,0.3754460048460075,0.08582310330766925,0.01906426831861509,0.00856247764730396,0.08419326958271693
3.16,0.37648188337580757,0.08707963656246966,0.019175144475841413,0.008814956304925096,0.08420150321515042
3.2,0.37751889549450623,0.08833610130246135,0.01928368511997764,0.00907112953687812,0.08420858982273828
3.24,0.3785570112730681,0.08959249286199264,0.019390039925731514,0.009330991837464197,0.08421451792662579
3.2800000000000002,0.37959620071334305,0.09084880639918852,0.01949435717542491,0.009594537212627373,0.08421927638596634
3.3200000000000003,0.38063643374529826,0.09210503690354205,0.019596783800153835,0.009861759175929284,0.08422285439465117
3.36,0.3816776802249343,0.09336117920310003,0.019697465418711237,0.010132650744694027,0.08422524147836133
3.4,0.38271990993284316,0.09461722797127546,0.019796546374313474,0.010407204436330563,0.08422642749191211
3.44,0.38376309257334745,0.09587317773331214,0.01989416976916842,0.010685412264837981,0.08422640261686239
3.48,0.3848071977741899,0.09712902287243065,0.01999047749693152,0.010967265737502006,0.08422515735936581
3.52,0.3858521950867301,0.09838475763567742,0.020085610273102465,0.011252755851786795,0.08422268254823845
3.56,0.38689805398660704,0.09964037613949918,0.020179707663414995,0.011541873092429147,0.08421896933322055
3.6,0.3879447438748421,0.10089587237506291,0.02027290811026864,0.011834607428738937,0.08421400918341487
3.64,0.3889922340793479,0.10215124021334025,0.020365348957263135,0.012130948312112763,0.08420779388587839
3.68,0.39004049385681167,0.10340647340997201,0.020457166471890584,0.01243088467376322,0.08420031554435572
3.72,0.3910894923949342,0.10466156560992908,0.020548495866440007,0.012734404922670058,0.08419156657813118
3.7600000000000002,0.3921391988149915,0.10591651035198414,0.02063947131716575,0.013041496943755946,0.08418153972098967
3.8000000000000003,0.3931895821747046,0.10717130107300717,0.02073022598178644,0.013352148096291934,0.08417022802026945
3.84,0.39424061147138906,0.10842593111209615,0.020820892015354264,0.013666345212534825,0.08415762483599153
3.88,0.3952922556453692,0.10968039371455593,0.020911600584565627,0.013984074596600327,0.08414372384006007
3.92,0.39634448358363894,0.11093468203573376,0.021002481880552756,0.014305322023575413,0.08412851901551191
3.96,0.39739726412374693,0.11218878914472176,0.02109366513021432,0.014630072738871442,0.08411200465581471
4.0,0.3984505660578969,0.11344270802793549,0.02118527860614063,0.014958311457821566,0.08409417536419456
4.04,0.3995043581372428,0.11469643159257645,0.02127744963517623,0.015290022365523912,0.08407502605298928
4.08,0.400558609076366,0.1159499526699855,0.021370304605681435,0.015625189116932555,0.08405455194301667
4.12,0.40161328755792264,0.11720326401889529,0.021463968973528216,0.015963794837198415,0.08403274856294812
4.16,0.4026683622374464,0.11845635832858731,0.02155856726689195,0.016305822122261122,0.08400961174867971
